school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid_port,paid_math,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,c_port,c_math,G1_port,G2_port,G3_port,G1_math,G2_math,G3_math,Alc
1,0,15,0,1,1,1,1,0,3,3,0,2,2,0,0,1,0,0,0,1,1,1,0,5,4,3,4,0,1,0,10,10,10,0,0,0,1
1,0,15,0,1,1,1,1,2,3,0,1,2,1,1,0,1,0,0,0,1,1,1,1,4,4,3,2,4,1,0,6,7,8,0,0,0,1
1,0,16,0,0,1,0,2,2,2,2,1,2,1,0,0,1,0,0,1,1,1,0,0,3,2,3,2,0,1,0,12,11,12,0,0,0,1
1,0,17,0,0,1,2,3,2,2,0,1,2,1,0,0,1,0,0,0,1,1,1,0,5,5,5,3,2,1,0,10,11,12,0,0,0,2
1,0,15,0,0,1,3,3,2,3,0,0,2,1,0,0,0,0,0,0,0,1,1,0,4,1,3,4,0,1,0,14,16,16,0,0,0,1
1,1,16,1,0,1,1,1,0,3,1,1,2,2,0,0,1,0,0,1,1,1,0,1,5,4,5,3,0,1,0,7,0,0,0,0,0,4
1,1,17,1,0,1,1,1,2,2,1,1,1,2,0,0,0,1,0,0,0,1,1,0,4,4,3,5,4,1,0,8,9,9,0,0,0,3
1,1,15,0,1,1,4,1,1,3,3,0,1,2,0,0,1,0,0,1,1,1,1,0,5,3,4,2,0,1,0,12,13,14,0,0,0,1
1,1,15,0,1,1,4,1,1,3,3,0,1,2,0,0,1,0,0,1,1,1,1,0,5,3,4,2,7,1,0,7,9,8,0,0,0,1
1,1,16,0,0,1,3,4,2,1,2,1,3,2,0,0,0,0,0,0,0,1,0,0,3,4,5,5,4,1,0,9,10,11,0,0,0,1
1,1,15,0,0,1,1,1,2,2,0,1,4,2,0,0,1,0,0,1,1,1,0,1,5,4,5,4,8,1,0,7,9,9,0,0,0,3
1,1,15,1,1,1,3,3,0,0,3,0,1,2,0,0,1,0,0,1,1,1,1,0,5,3,3,5,0,1,0,11,11,11,0,0,0,1
1,1,17,0,0,1,2,1,2,2,2,1,3,1,0,0,0,0,0,1,1,0,0,1,5,5,5,3,8,1,0,8,10,9,0,0,0,5
1,0,16,0,0,1,4,4,4,4,0,1,2,3,0,0,0,0,0,1,1,1,1,1,4,2,2,4,6,1,0,16,16,17,0,0,0,1
1,0,15,0,0,1,1,2,2,3,0,1,2,1,0,0,0,0,0,0,1,1,0,0,5,1,2,1,3,1,0,11,13,13,0,0,0,1
1,0,16,0,0,1,2,3,2,3,0,1,3,2,0,0,1,0,0,0,1,1,1,0,4,5,4,1,2,1,0,15,15,15,0,0,0,1
1,1,16,0,0,1,1,2,2,2,0,0,2,2,0,0,0,0,0,0,1,1,0,0,4,3,3,5,0,1,0,10,11,11,0,0,0,1
1,0,16,0,0,1,2,2,2,2,0,1,3,2,0,0,1,0,0,0,1,1,1,0,4,4,5,4,4,1,0,9,10,11,0,0,0,1
1,0,16,1,0,1,1,2,2,3,0,1,1,3,1,0,1,0,0,0,1,1,0,0,1,3,2,4,0,1,0,10,8,8,0,0,0,1
1,0,16,1,0,1,1,2,2,3,0,1,1,3,1,0,1,0,0,0,1,1,0,0,1,3,2,4,3,1,0,9,8,8,0,0,0,1
1,0,15,1,0,1,2,1,0,2,1,1,1,2,0,1,1,0,0,0,0,1,1,0,4,4,2,2,0,1,0,9,10,9,0,0,0,3
1,0,16,1,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,0,1,0,1,5,4,3,2,0,1,0,13,14,15,0,0,0,1
1,1,17,0,1,1,1,2,0,3,3,1,1,1,0,0,1,0,0,1,1,1,1,0,5,5,5,3,4,1,0,10,11,11,0,0,0,5
1,0,16,0,0,1,1,1,2,2,1,0,4,4,0,0,1,0,0,0,0,1,1,0,4,3,2,1,0,1,0,13,10,13,0,0,0,1
1,0,16,0,0,1,1,1,0,2,2,0,4,3,0,1,1,0,0,0,1,1,0,0,4,4,3,5,2,1,0,10,9,10,0,0,0,1
1,0,15,0,0,1,1,1,0,2,1,0,2,2,0,0,1,0,0,1,1,1,1,0,4,3,3,2,1,1,0,11,10,11,0,0,0,1
1,0,16,0,0,1,1,1,0,2,2,1,2,1,0,0,0,0,0,1,1,1,1,1,4,2,2,2,0,1,0,13,12,14,0,0,0,3
1,0,15,0,0,1,1,1,0,0,0,0,3,2,0,0,1,0,0,0,1,1,0,0,4,2,1,2,0,1,0,13,14,14,0,0,0,1
1,0,15,0,1,1,2,2,2,2,2,0,1,3,0,1,1,0,0,0,1,1,0,0,4,4,3,5,2,1,0,14,11,12,0,0,0,2
1,1,16,0,0,1,1,1,0,2,2,0,2,1,0,0,0,0,0,1,1,1,0,0,3,4,4,5,6,1,0,11,11,11,0,0,0,3
1,0,18,1,0,1,1,2,2,2,0,0,1,2,1,0,1,0,0,1,1,1,1,1,3,4,4,5,9,1,0,9,8,8,0,0,0,2
1,1,15,1,0,1,3,1,2,3,1,1,2,1,0,0,1,0,0,0,1,1,0,0,3,2,3,4,0,1,0,10,9,11,0,0,0,2
1,0,16,0,0,1,2,2,2,3,0,0,3,2,0,0,1,0,0,1,1,1,1,0,5,3,4,2,1,1,0,14,13,14,0,0,0,1
1,1,15,1,0,1,2,2,1,2,3,1,3,1,0,0,0,0,0,0,1,1,0,0,4,3,3,4,1,1,0,13,12,13,0,0,0,1
1,1,16,1,0,1,4,4,2,4,0,0,1,2,0,0,1,0,0,1,1,1,0,1,4,3,1,3,0,1,0,13,12,13,0,0,0,1
1,0,15,0,0,1,3,3,3,2,3,1,1,2,0,0,1,0,0,0,1,1,1,1,4,5,4,1,4,1,0,13,12,12,0,0,0,1
1,0,16,0,0,1,2,2,0,2,0,1,2,2,1,0,1,0,0,1,0,1,0,0,4,4,4,5,2,1,0,12,11,12,0,0,0,2
1,0,16,0,1,1,2,2,2,2,1,0,3,1,0,0,1,0,0,1,1,1,0,1,4,3,2,4,0,1,0,14,14,16,0,0,0,1
1,1,16,1,1,1,2,1,0,3,0,1,2,1,0,0,1,0,0,1,1,1,1,0,2,4,3,4,4,1,0,10,8,10,0,0,0,2
1,1,15,0,1,1,1,3,0,2,3,0,3,1,0,0,1,0,0,1,1,1,1,0,4,2,4,3,2,1,0,10,11,11,0,0,0,4
1,0,15,1,0,1,2,2,2,3,0,1,2,3,0,0,1,0,0,1,1,1,0,0,5,3,2,4,0,1,0,12,13,14,0,0,0,1
1,0,16,0,1,1,2,1,2,2,1,1,1,1,0,0,1,0,0,0,1,1,1,1,5,4,3,5,2,1,0,10,8,8,0,0,0,1
1,1,15,1,0,1,3,3,3,3,0,0,2,1,0,0,1,0,0,1,0,1,1,0,4,3,3,3,11,1,0,12,10,11,0,0,0,3
1,0,16,0,0,1,1,1,0,2,0,0,2,2,3,1,1,0,0,0,1,1,0,0,3,4,3,1,0,1,0,7,7,8,0,0,0,1
1,0,17,1,0,1,2,2,2,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,4,5,3,5,4,1,0,9,9,10,0,0,0,1
1,0,19,1,0,1,2,3,0,3,0,2,1,1,1,0,0,0,0,0,1,0,1,1,4,4,4,2,0,1,0,9,9,10,0,0,0,1
1,0,17,0,0,1,2,1,0,2,0,1,3,1,0,0,1,0,0,1,1,0,0,1,5,5,3,3,2,1,0,9,10,11,0,0,0,1
1,0,15,0,1,1,1,1,0,2,0,1,2,1,0,0,1,0,0,0,1,0,0,1,5,2,1,4,0,1,0,9,10,9,0,0,0,2
1,0,16,0,0,1,2,2,2,2,0,0,3,2,0,0,1,0,0,0,1,0,1,0,3,4,5,1,1,1,0,9,10,11,0,0,0,1
1,0,16,1,1,0,2,2,2,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,4,3,4,1,6,1,0,7,7,8,0,0,0,1
1,0,17,0,0,1,2,2,0,2,0,1,2,2,0,0,1,0,0,0,1,1,1,0,4,3,5,4,0,1,0,11,10,11,0,0,0,1
1,0,16,1,0,1,2,2,2,3,0,0,1,1,1,0,1,1,0,1,0,1,1,0,4,4,3,3,1,1,0,9,10,10,0,0,0,2
1,0,18,0,1,0,3,2,2,2,0,2,2,3,2,0,1,0,0,0,0,0,0,1,3,3,2,2,6,1,0,7,9,10,0,0,0,1
1,0,19,1,0,1,1,1,0,3,0,1,1,3,1,0,0,0,0,1,1,0,0,1,5,3,1,3,6,1,0,7,9,9,0,0,0,1
1,1,18,0,0,1,1,1,2,2,1,1,2,1,1,0,0,0,0,1,1,0,1,0,4,4,3,4,0,1,0,8,9,10,0,0,0,3
1,0,18,0,0,1,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,3,2,3,2,4,1,0,9,11,10,0,0,0,1
1,0,19,1,0,1,1,1,2,2,0,2,2,2,1,0,1,0,0,0,1,1,1,1,1,1,4,1,12,1,0,7,8,9,0,0,0,2
1,0,16,0,0,0,2,2,1,2,0,1,1,2,0,0,0,0,0,0,0,1,0,1,3,3,2,3,2,1,0,8,10,10,0,0,0,1
1,0,17,1,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,2,4,4,5,5,1,0,9,9,10,0,0,0,4
1,0,16,0,1,1,1,2,0,2,0,1,1,2,0,0,0,0,0,1,1,0,1,0,4,4,5,3,0,1,0,8,9,9,0,0,0,2
1,0,16,1,0,1,3,3,2,2,3,1,1,1,0,0,0,0,0,1,1,0,1,1,4,5,4,4,0,1,0,14,13,13,0,0,0,1
1,0,16,0,1,1,1,1,3,3,1,1,1,1,0,0,1,0,0,1,1,1,1,1,4,4,4,4,2,1,0,14,14,14,0,0,0,2
1,1,17,1,0,1,3,3,3,0,0,1,2,4,1,0,1,1,0,1,1,1,0,0,5,4,5,5,0,1,0,10,11,10,0,0,0,3
1,0,16,1,0,1,2,1,2,3,0,1,1,2,0,0,1,0,0,1,1,1,1,0,5,3,3,1,0,1,0,14,13,14,0,0,0,1
1,0,16,1,0,1,2,2,3,2,0,1,1,1,0,0,1,1,0,1,1,1,0,1,4,2,5,5,0,1,0,17,16,16,0,0,0,1
1,1,17,1,0,1,1,2,2,2,0,0,1,1,1,0,1,0,0,1,1,0,1,1,5,3,5,1,12,1,0,6,7,7,0,0,0,5
1,1,16,1,1,1,4,3,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,0,4,2,5,5,8,1,0,14,12,13,0,0,0,3
1,1,17,0,1,1,2,2,3,3,2,1,3,4,1,0,1,0,0,0,1,1,0,0,1,3,5,3,2,1,0,10,8,9,0,0,0,4
1,0,16,1,0,1,1,1,2,2,0,2,1,4,0,1,1,0,0,1,1,1,1,0,2,2,1,5,0,1,0,14,14,14,0,0,0,1
1,0,19,1,1,1,2,2,2,2,1,1,1,3,0,0,0,0,0,0,1,1,1,1,5,4,5,1,0,1,0,12,13,13,0,0,0,1
1,0,17,0,0,1,1,1,0,2,3,1,2,1,0,0,1,0,0,1,0,1,1,1,4,4,5,5,0,1,0,11,11,11,0,0,0,1
1,0,20,1,0,1,3,3,0,3,2,1,2,2,1,0,0,0,0,1,1,1,1,1,3,3,4,3,8,1,0,11,9,10,0,0,0,3
1,0,17,1,1,1,1,1,2,3,0,0,1,3,0,0,1,0,0,0,1,1,0,1,4,3,3,3,0,1,0,11,11,10,0,0,0,1
1,1,17,0,0,1,2,2,2,2,0,1,3,1,1,0,1,0,0,0,0,1,1,0,4,4,5,5,0,1,0,10,9,9,0,0,0,1
1,0,16,0,1,1,1,1,0,2,0,0,3,2,0,0,1,0,0,0,1,1,0,0,5,3,2,1,0,1,0,16,17,18,0,0,0,1
1,0,17,0,0,1,2,2,2,2,3,1,2,2,0,0,1,0,0,1,1,1,0,0,5,3,2,1,0,1,0,15,17,17,0,0,0,1
1,0,17,1,0,0,1,0,2,2,2,1,2,2,0,0,0,0,0,0,1,1,1,1,4,4,5,4,1,1,0,11,9,10,0,0,0,1
1,0,18,0,0,1,1,1,0,2,2,1,1,2,1,0,1,0,0,0,1,1,1,1,4,3,2,5,9,1,0,7,7,7,0,0,0,1
1,0,16,1,0,1,3,1,2,2,0,1,1,1,0,0,0,0,0,1,1,1,1,0,3,1,3,1,0,1,0,8,6,8,0,0,0,2
1,0,16,1,0,1,3,2,3,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,3,1,3,3,2,1,0,7,6,7,0,0,0,2
1,0,18,1,1,1,1,1,2,0,3,1,2,2,0,1,0,0,0,0,1,1,0,0,2,3,5,3,8,1,0,9,8,10,0,0,0,2
1,0,16,0,0,1,4,4,1,4,3,0,1,2,0,0,0,0,0,1,0,1,1,1,4,3,3,2,0,1,0,14,16,16,0,0,0,2
1,0,16,0,1,1,1,2,2,2,3,1,2,1,0,0,0,0,0,1,1,1,1,0,5,4,5,2,0,1,0,14,14,15,0,0,0,2
1,0,18,1,0,0,2,4,2,3,3,0,1,2,1,0,1,0,0,0,1,1,1,0,2,3,2,1,8,1,0,8,5,8,0,0,0,2
1,1,16,0,0,1,2,1,2,3,3,1,2,2,0,0,0,0,0,1,1,1,1,0,5,2,1,2,0,1,0,8,7,0,0,0,0,1
1,0,16,1,1,1,1,1,0,2,2,1,3,2,0,0,1,0,0,0,1,1,1,0,4,3,2,5,6,1,0,6,8,8,0,0,0,2
1,0,16,0,0,1,2,3,0,3,2,1,2,2,0,0,1,0,0,1,1,1,1,0,3,3,3,2,0,1,0,8,10,10,0,0,0,1
1,0,16,1,0,1,4,4,1,1,0,1,1,2,0,0,1,0,0,0,1,1,1,1,4,3,4,3,4,1,0,8,8,8,0,0,0,1
1,1,18,1,1,1,4,4,0,1,1,1,1,4,0,0,1,0,0,1,1,0,1,1,5,5,5,5,2,1,0,5,6,6,0,0,0,5
1,0,16,0,1,1,3,4,0,2,2,1,3,2,0,0,1,0,0,0,0,1,0,0,4,2,1,2,2,1,0,7,9,8,0,0,0,1
1,1,17,1,1,1,4,4,2,3,1,1,1,3,0,0,1,0,0,0,1,1,1,0,4,4,3,5,0,1,0,15,14,16,0,0,0,1
1,0,17,0,0,1,4,1,2,2,2,1,1,1,0,0,0,0,0,0,1,1,1,1,4,2,3,5,1,1,0,13,14,14,0,0,0,1
1,1,16,1,1,1,2,2,3,3,2,1,4,3,0,0,0,0,0,0,1,1,0,0,5,1,3,3,0,1,0,10,9,10,0,0,0,2
1,0,17,0,0,1,2,2,0,2,2,1,1,1,0,0,1,1,0,0,1,1,1,0,5,1,3,5,5,1,0,9,9,9,0,0,0,1
1,0,16,1,1,1,4,4,3,3,2,0,2,1,0,0,1,0,0,0,1,1,0,0,5,1,3,5,1,1,0,11,11,11,0,0,0,1
1,1,17,1,0,1,3,3,3,3,1,1,1,1,0,0,1,0,0,1,1,1,1,0,4,1,4,3,8,1,0,7,10,9,0,0,0,5
1,1,17,1,0,1,1,1,0,3,2,1,3,2,0,0,0,0,0,0,1,1,1,1,5,1,3,1,0,1,0,10,10,10,0,0,0,3
1,1,16,1,0,1,2,1,1,3,2,1,2,2,0,0,0,0,0,0,0,1,1,1,4,2,2,5,2,1,0,9,7,8,0,0,0,2
1,0,16,1,1,1,2,1,2,3,2,1,1,2,0,0,0,0,0,0,1,1,1,1,3,2,2,3,0,1,0,14,15,16,0,0,0,1
1,1,16,1,1,1,4,4,4,1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,4,1,2,5,0,1,0,11,12,12,0,0,0,3
1,1,15,0,0,1,1,2,2,3,0,1,3,2,0,0,1,0,0,1,1,1,0,0,5,5,5,5,11,1,0,9,11,10,0,0,0,2
1,1,15,1,1,0,2,2,2,2,3,1,3,4,0,0,1,0,0,1,1,1,0,0,5,4,5,5,8,1,0,13,14,14,0,0,0,2
1,1,15,1,1,0,2,1,3,3,0,1,1,1,0,0,0,0,0,1,1,1,1,0,4,3,3,5,11,1,0,12,13,12,0,0,0,1
1,0,16,0,1,1,2,2,2,2,0,1,1,3,0,0,1,0,0,0,0,1,0,1,4,3,3,5,2,1,0,11,11,11,0,0,0,2
1,0,16,1,1,1,4,1,2,2,1,1,2,2,0,0,1,0,0,1,1,1,1,0,1,2,4,1,8,1,0,9,10,10,0,0,0,2
1,0,17,1,0,1,3,2,0,2,1,1,2,1,0,0,0,0,0,0,1,1,0,1,4,3,3,1,5,1,0,9,11,11,0,0,0,2
1,0,17,0,0,1,2,2,2,2,2,1,2,2,0,1,0,1,0,0,1,1,0,0,5,1,3,5,0,1,0,11,9,11,0,0,0,1
1,0,16,1,0,1,4,4,4,3,0,1,2,3,0,0,1,0,0,0,1,1,1,1,5,3,5,5,1,1,0,10,11,12,0,0,0,2
1,1,17,0,0,1,4,4,1,2,0,0,3,1,3,0,0,0,0,1,1,1,1,1,3,3,3,5,2,1,0,9,9,8,0,0,0,2
1,1,17,0,1,1,1,3,2,2,0,0,2,1,0,0,0,0,0,1,1,1,0,1,5,1,2,5,2,1,0,12,11,12,0,0,0,3
1,1,17,1,0,1,3,4,3,2,2,1,1,2,1,0,1,0,0,1,0,1,1,1,5,4,4,5,8,1,0,8,9,8,0,0,0,3
1,0,17,1,0,1,4,4,1,1,0,0,1,2,0,0,1,0,0,0,1,1,1,0,5,2,5,5,0,1,0,13,15,16,0,0,0,1
1,1,16,0,1,1,4,1,2,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,4,1,2,2,0,1,0,10,11,11,0,0,0,1
1,0,17,1,0,0,1,1,0,0,2,1,1,2,0,0,0,0,0,1,1,1,1,1,4,5,5,3,2,1,0,11,10,11,0,0,0,1
1,0,17,0,0,1,4,2,2,2,0,1,2,2,0,1,1,0,0,0,0,1,1,0,4,3,3,5,0,1,0,17,18,18,0,0,0,2
1,1,16,1,1,0,2,2,2,3,0,0,2,2,0,0,1,0,0,0,0,1,1,1,4,1,2,5,0,1,0,12,13,13,0,0,0,2
1,1,17,1,0,1,3,2,2,2,2,0,2,2,0,0,1,1,0,0,1,1,1,0,4,1,2,1,0,1,0,13,14,13,0,0,0,2
1,1,19,1,0,1,1,1,2,2,2,1,1,2,2,0,1,0,0,1,1,0,1,0,4,4,3,4,2,1,0,9,9,10,0,0,0,3
1,1,17,1,1,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,1,4,1,2,5,4,1,0,11,11,12,0,0,0,1
1,0,17,0,0,1,1,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,1,1,3,5,5,4,3,1,0,10,11,10,0,0,0,2
1,0,16,0,0,1,1,2,2,2,1,0,1,3,0,1,1,0,0,0,0,1,1,1,4,3,4,3,5,1,0,13,14,13,0,0,0,1
1,1,16,0,1,1,1,2,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,4,4,4,5,4,1,0,9,10,11,0,0,0,3
1,0,17,0,0,1,3,1,2,2,0,1,2,2,3,0,1,0,0,1,0,1,1,1,5,4,4,5,2,1,0,7,9,10,0,0,0,1
1,1,17,0,0,1,2,2,2,2,0,1,2,1,0,0,0,0,0,1,1,0,0,1,5,5,5,5,0,1,0,8,13,10,0,0,0,4
1,1,18,0,0,1,1,0,0,0,0,2,3,1,1,1,1,0,0,0,1,1,0,0,4,3,2,4,0,1,0,12,12,13,0,0,0,1
1,1,17,0,0,1,1,1,2,3,0,1,2,1,0,0,1,0,0,1,0,1,1,1,4,5,5,2,0,1,0,10,9,10,0,0,0,2
1,1,18,1,1,1,1,1,0,0,0,1,2,2,0,0,1,0,0,1,1,1,0,0,4,3,3,5,6,1,0,10,9,10,0,0,0,2
1,0,16,0,1,1,2,2,2,3,0,0,1,2,0,0,0,0,0,1,1,1,0,1,5,4,3,1,0,1,0,11,13,12,0,0,0,1
1,1,17,1,0,1,2,2,2,2,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,2,1,5,0,1,0,7,0,0,0,0,0,2
1,1,16,0,0,1,3,2,3,2,0,0,2,1,0,0,0,0,0,0,1,1,1,0,4,5,5,5,2,1,0,11,9,10,0,0,0,2
1,1,16,0,1,1,1,1,0,2,0,1,2,1,0,0,0,0,0,1,1,1,1,0,4,5,5,5,0,1,0,10,10,9,0,0,0,3
1,1,18,0,0,1,1,1,3,2,0,2,2,1,1,0,1,0,0,0,1,0,1,1,5,3,3,5,2,1,0,9,7,9,0,0,0,2
1,1,18,0,0,1,3,2,3,2,0,1,1,1,1,0,0,0,0,0,1,0,1,0,2,3,1,5,0,1,0,4,0,0,0,0,0,2
1,1,19,1,0,1,3,2,0,3,0,1,2,1,3,0,0,0,0,1,1,1,0,0,3,2,1,3,4,1,0,6,11,9,0,0,0,1
1,1,18,1,0,1,3,3,0,0,0,1,1,2,2,0,1,0,0,1,1,0,1,0,4,4,5,3,9,1,0,4,8,8,0,0,0,2
1,1,16,0,0,1,2,2,3,3,0,1,2,1,0,0,1,0,0,1,1,1,1,1,5,4,3,4,6,1,0,7,8,8,0,0,0,3
1,1,19,1,0,1,2,1,0,2,0,2,2,1,3,0,0,0,0,1,0,0,1,1,4,4,3,5,4,1,0,8,9,9,0,0,0,2
1,0,16,1,0,0,3,2,3,0,0,1,2,2,2,0,1,0,0,1,1,1,0,1,2,5,5,1,8,1,0,5,5,7,0,0,0,1
1,0,17,1,0,1,1,1,2,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,4,3,2,5,9,1,0,7,9,10,0,0,0,1
1,1,20,0,0,1,1,1,2,2,0,2,2,1,1,0,1,0,0,0,1,0,1,1,4,4,3,4,12,1,0,8,11,10,0,0,0,3
1,0,18,0,0,0,4,3,3,3,0,1,1,1,0,0,1,0,0,0,1,1,1,0,5,4,4,2,8,1,0,10,11,10,0,0,0,3
1,1,18,0,0,1,3,2,2,2,0,1,2,1,0,0,1,0,0,0,0,1,1,0,2,5,5,5,8,1,0,9,10,11,0,0,0,5
1,1,19,0,0,1,1,1,2,3,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,4,4,2,8,1,0,10,9,11,0,0,0,3
1,1,17,1,0,1,3,3,1,2,0,1,2,2,1,0,1,0,0,0,1,1,1,0,4,5,4,3,4,1,0,8,9,10,0,0,0,2
1,1,18,1,1,1,1,3,0,3,0,1,1,1,0,0,0,0,0,0,1,0,1,1,4,3,3,3,0,1,0,9,10,9,0,0,0,2
1,0,18,1,0,0,1,2,0,2,0,1,2,2,2,0,1,0,0,0,1,1,0,0,4,3,3,5,2,1,0,6,8,8,0,0,0,1
1,0,19,1,1,0,1,1,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,4,4,5,0,1,0,6,8,7,0,0,0,1
1,0,18,0,0,1,2,2,2,2,2,1,2,1,1,0,0,0,0,0,1,0,1,1,5,5,5,3,0,1,0,8,6,0,0,0,0,1
1,0,17,0,0,1,0,0,0,2,0,1,2,1,0,0,1,0,0,0,1,1,1,0,4,4,3,5,0,1,0,10,11,11,0,0,0,1
1,0,17,0,1,0,3,1,2,0,0,2,2,3,0,0,1,1,0,0,1,0,0,0,4,2,3,3,5,1,0,8,7,8,0,0,0,2
1,0,17,1,0,1,4,2,4,3,1,1,1,2,0,1,1,0,0,1,1,1,1,0,5,5,5,5,0,1,0,8,8,0,0,0,0,2
1,0,18,0,1,1,2,2,3,3,0,1,1,2,1,0,1,0,0,1,1,1,1,0,2,3,3,4,3,1,0,7,6,8,0,0,0,1
1,0,17,1,0,1,4,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,3,2,2,5,0,1,0,8,10,9,0,0,0,1
1,0,17,1,1,1,1,2,0,2,0,0,1,1,0,0,0,0,0,0,1,1,1,0,5,5,1,3,0,1,0,7,10,10,0,0,0,1
1,0,18,1,0,1,1,1,2,2,0,1,3,2,2,0,0,0,0,1,1,1,0,1,3,4,4,5,3,1,0,7,8,7,0,0,0,2
1,0,18,1,0,1,2,2,3,0,3,0,2,2,0,0,0,0,0,1,0,1,1,0,4,3,5,1,2,1,0,12,13,14,0,0,0,1
1,0,17,1,0,1,3,3,3,3,0,1,2,1,0,0,1,0,0,0,1,1,1,0,4,4,3,4,0,1,0,11,12,13,0,0,0,1
1,0,18,1,1,0,1,2,0,2,3,1,2,2,0,0,0,0,0,0,1,1,1,0,4,4,3,4,0,1,0,12,13,14,0,0,0,1
1,0,18,1,0,1,4,4,4,4,3,1,2,2,0,0,0,0,0,1,0,1,1,0,4,3,5,1,0,1,0,18,18,18,0,0,0,1
1,1,18,1,1,1,4,4,3,2,3,1,1,1,0,0,1,0,0,1,1,1,1,0,5,4,5,5,3,1,0,17,17,17,0,0,0,1
1,0,17,1,0,1,4,2,2,2,0,1,2,2,0,0,1,0,0,0,1,1,1,0,4,3,3,4,0,1,0,17,18,18,0,0,0,1
1,0,18,0,0,1,2,2,0,2,0,1,3,2,1,0,0,0,0,1,1,1,0,1,4,3,3,4,0,1,0,9,0,0,0,0,0,1
1,1,18,1,1,1,1,2,0,3,1,1,2,1,0,0,1,0,0,0,0,1,0,0,4,1,4,1,8,1,0,10,11,11,0,0,0,5
1,1,18,0,0,1,4,4,0,3,2,1,3,1,0,0,1,1,0,1,1,1,1,1,2,5,5,1,5,1,0,12,13,14,0,0,0,1
1,1,17,0,0,1,1,1,2,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,4,2,3,4,4,1,0,12,13,14,0,0,0,3
1,0,18,1,0,1,2,2,2,2,0,1,2,2,0,0,1,0,0,0,0,1,1,1,1,3,1,2,4,1,0,8,8,10,0,0,0,1
1,0,18,1,1,1,2,2,3,3,0,0,2,3,0,0,0,0,0,0,1,1,1,1,5,4,5,3,0,1,0,11,12,13,0,0,0,2
1,0,18,0,1,0,4,2,4,2,3,1,1,2,0,0,0,0,0,1,1,1,1,1,5,3,1,5,0,1,0,5,0,0,0,0,0,1
1,0,18,1,0,1,1,1,0,3,0,1,3,2,1,0,0,0,0,0,1,0,0,0,4,4,2,2,2,1,0,9,10,10,0,0,0,1
1,0,19,1,0,1,1,1,0,3,2,0,2,1,1,0,0,0,0,0,1,0,0,0,5,5,5,2,0,1,0,5,0,0,0,0,0,2
1,0,17,1,0,1,4,2,4,2,0,0,2,4,0,0,0,0,0,0,1,1,1,1,4,2,3,5,0,1,0,18,18,18,0,0,0,2
1,0,17,0,1,0,2,1,3,2,3,1,2,2,0,0,0,0,0,1,1,1,1,1,5,3,3,2,5,1,0,11,11,12,0,0,0,1
1,0,18,1,1,0,1,1,0,3,0,1,1,2,0,0,0,0,0,0,1,1,0,1,5,2,3,3,2,1,0,8,10,11,0,0,0,1
1,0,18,1,0,1,1,2,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,4,1,1,4,0,1,0,11,11,12,0,0,0,1
1,0,19,0,0,0,1,1,0,0,0,2,2,2,3,0,1,0,0,1,1,0,0,1,3,5,4,1,0,1,0,8,0,0,0,0,0,2
1,0,18,0,0,1,2,2,3,2,1,1,2,3,0,0,0,0,0,0,1,1,1,1,4,2,1,4,5,1,0,14,14,15,0,0,0,1
1,1,17,0,0,1,4,3,3,2,1,1,2,2,1,0,1,1,0,1,0,1,1,1,4,5,5,2,4,1,0,10,11,11,0,0,0,2
1,0,17,0,0,1,4,4,4,3,2,0,2,2,0,0,1,1,0,1,1,1,1,0,4,3,3,5,2,1,0,12,12,12,0,0,0,1
1,0,17,1,1,0,3,2,3,2,3,1,2,2,0,0,0,0,0,0,1,1,0,1,1,2,3,5,0,1,0,15,14,15,0,0,0,1
1,1,18,1,1,1,1,1,2,3,1,0,2,1,0,0,0,0,0,0,0,1,1,1,3,3,2,3,2,1,0,14,13,14,0,0,0,1
1,0,18,0,1,0,1,2,0,2,0,1,3,2,0,0,0,0,0,0,1,1,0,1,4,3,4,5,0,1,0,16,15,15,0,0,0,2
1,0,18,1,0,1,3,3,3,3,2,1,2,2,0,0,1,0,0,0,1,1,1,1,4,3,2,3,6,1,0,13,12,13,0,0,0,2
